t=0ms START device=ios targets=192.0.2.1:44433/v4,[2001:db8::1]:44433/v6 minutes=4500 echoIntervalMs=250 qlog=/var/mobile/Containers/Data/Application/F584FE2E-5D14-4C36-BD66-C6D10AC83167/Documents/qlog
t=2ms PREVIOUS-RUN none
t=4ms TRACE-BUDGET mb=1182 plannedExchanges=1080000
t=28747608ms ECHO-OK seq=109695 rtt=255ms pending=13B
t=28747863ms ECHO-OK seq=109696 rtt=256ms pending=13B
t=28748118ms ECHO-OK seq=109697 rtt=256ms pending=13B
t=28748373ms ECHO-OK seq=109698 rtt=257ms pending=13B
t=28748628ms ECHO-OK seq=109699 rtt=257ms pending=13B
t=28748883ms ECHO-OK seq=109700 rtt=257ms pending=13B
t=28749139ms ECHO-OK seq=109701 rtt=257ms pending=13B
t=28749393ms ECHO-OK seq=109702 rtt=256ms pending=13B
t=28749648ms ECHO-OK seq=109703 rtt=256ms pending=13B
t=28749902ms ECHO-OK seq=109704 rtt=255ms pending=13B
t=28750155ms ECHO-OK seq=109705 rtt=255ms pending=13B
t=28750410ms ECHO-OK seq=109706 rtt=256ms pending=13B
t=28750664ms ECHO-OK seq=109707 rtt=255ms pending=13B
t=28750918ms ECHO-OK seq=109708 rtt=255ms pending=13B
t=28751172ms ECHO-OK seq=109709 rtt=255ms pending=13B
t=28751426ms ECHO-OK seq=109710 rtt=255ms pending=13B
t=28751680ms ECHO-OK seq=109711 rtt=255ms pending=13B
t=28751934ms ECHO-OK seq=109712 rtt=255ms pending=13B
t=28752187ms ECHO-OK seq=109713 rtt=255ms pending=13B
t=28752441ms ECHO-OK seq=109714 rtt=255ms pending=13B
t=28752695ms ECHO-OK seq=109715 rtt=255ms pending=13B
t=28752948ms ECHO-OK seq=109716 rtt=255ms pending=13B
t=28753202ms ECHO-OK seq=109717 rtt=255ms pending=13B
